owner	field	type	class	reads	writes	evidence
ABRTCMC	address	byte	VALUE	5	3	primitive
ABRTCMC	addressAutoIncrement	bool	VALUE	1	1	primitive
ABRTCMC	isFirstByte	bool	VALUE	1	3	primitive
ABRTCMC	isSecondByte	bool	VALUE	1	4	primitive
ABRTCMC	twelveOrTwentyFourHourMode	IFlagRegisterField	ARENA	1	0	register handle -- D2 makes it a typed arena index
ADCChannel	bufferedSamples	IEnumerable	BACKREF	2	5	static: interface-typed, implementation outside cut
ADCChannel	channelId	int	VALUE	1	1	primitive
ADCChannel	currentSample	uint	VALUE	2	2	primitive
ADCChannel	lockObject	object	VALUE	5	0	primitive
ADCChannel	parent	IPeripheral	SHARED	1	1	static: 1 writes, 1 reads
ADCChannel	samples	Queue	VALUE	6	1	static: maps to std::collections::VecDeque<u32>
ADCChannelSource	defaultSample	VoltageSample	SHARED	2	4	static: 4 writes, 2 reads
ADCChannelSource	resdStream	VoltageSample>	UNKNOWN	5	3	static: `VoltageSample>` not classified
ADCChannelSource	resetSample	VoltageSample	SHARED	1	2	static: 2 writes, 1 reads
ADXL345	bufferedSamples	Sample>	UNKNOWN	2	3	static: `Sample>` not classified
ADXL345	currentSample	Sample	VALUE	7	2	enum or struct -- copied, not referenced
ADXL345	fullResolution	bool	VALUE	6	2	primitive
ADXL345	lastRegister	Registers	VALUE	8	3	enum or struct -- copied, not referenced
ADXL345	range	Range	VALUE	6	2	enum or struct -- copied, not referenced
ADXL345	samplesFifo	Sample>	UNKNOWN	14	1	static: `Sample>` not classified
ADXL345	samplesFifoEmptied	Action	CALLBACK	5	2	delegate slot -- Option<Box<dyn FnMut>>
ADXL372	address	byte	VALUE	6	7	primitive
ADXL372	chipSelected	bool	VALUE	2	2	primitive
ADXL372	state	State	VALUE	5	5	enum or struct -- copied, not referenced
AESServiceProvider	bus	IBusController	SHARED	3	1	static: 1 writes, 3 reads
AESServiceProvider	manager	InternalMemoryManager	SHARED	14	1	static: 1 writes, 14 reads
AESServiceProvider	segment	byte	VALUE	2	4	primitive
AFESample	innerPacket	int	VALUE	5	2	primitive
AFESampleFIFO	currentSampleEnumerator	IEnumerator	BACKREF	3	1	static: interface-typed, implementation outside cut
AFESampleFIFO	parent	MAX86171	SHARED	6	1	static: 1 writes, 6 reads
AFESampleFIFO	samples	AFESample>	UNKNOWN	6	1	static: `AFESample>` not classified
AFESampleFrame	samples	AFESample	VALUE	11	1	enum or struct -- copied, not referenced
AIC	CurrentIRQ	int	VALUE	12	3	primitive
AIC	interruptMaskRegister	uint	VALUE	1	2	primitive
AIC	interruptPendingRegister	uint	VALUE	6	0	primitive
AIC	level	bool	VALUE	5	0	primitive
AIC	localLock	object	VALUE	3	0	primitive
AIC	nestedInterruptStack	Tuple	UNKNOWN	3	0	static: `Tuple` not classified
AIC	sourceModeRegisters	uint	VALUE	4	0	primitive
AIC	sourceVectorRegisters	uint	VALUE	2	0	primitive
AIC	spouriousInterruptVectorRegister	uint	VALUE	1	1	primitive
AINTC	bestFiq	int	VALUE	2	2	primitive
AINTC	bestIrq	int	VALUE	2	2	primitive
AINTC	entryTableBaseAddress	uint	VALUE	3	2	primitive
AINTC	interruptOperationControl	DoubleWordRegister	SHARED	6	1	static: 1 writes, 6 reads
AINTC	interruptPriorityRegisterCollection	DoubleWordRegisterCollection	ARENA	3	1	the bank itself; elided, see register_collection
AINTC	interrupts	InterruptStatus	VALUE	18	1	enum or struct -- copied, not referenced
AINTC	priorities	IValueRegisterField	ARENA	6	1	register handle -- D2 makes it a typed arena index
AINTC	reflectMaskedFiq	IFlagRegisterField	ARENA	1	1	register handle -- D2 makes it a typed arena index
AINTC	reflectMaskedIrq	IFlagRegisterField	ARENA	1	1	register handle -- D2 makes it a typed arena index
AK0991x	magResdStream	MagneticSample>	UNKNOWN	5	2	static: `MagneticSample>` not classified
AK0991x	mode	Mode>	UNKNOWN	2	0	static: `Mode>` not classified
AK0991x	selectedRegister	Registers	VALUE	8	4	enum or struct -- copied, not referenced
AK0991x	state	State	VALUE	2	4	enum or struct -- copied, not referenced
AMDCFIFlash	alternateManufacturerId	ushort	VALUE	1	1	primitive
AMDCFIFlash	autoselectData	byte	VALUE	1	1	primitive
AMDCFIFlash	backingFiles	BackingFile>	UNKNOWN	2	0	static: `BackingFile>` not classified
AMDCFIFlash	bankSectorSizes	List	VALUE	9	2	static: maps to Vec<Vec<i64>>
AMDCFIFlash	cfiData	byte	VALUE	3	1	primitive
AMDCFIFlash	deviceId	uint	VALUE	3	1	primitive
AMDCFIFlash	interleave	int	VALUE	5	1	primitive
AMDCFIFlash	manufacturerId	ushort	VALUE	2	1	primitive
AMDCFIFlash	readMemoryDoubleWord	Func	CALLBACK	1	2	delegate slot -- Option<Box<dyn FnMut>>
AMDCFIFlash	readMemoryWord	Func	CALLBACK	1	2	delegate slot -- Option<Box<dyn FnMut>>
AMDCFIFlash	sectorRegions	SectorRegion	SHARED	9	1	static: 1 writes, 9 reads
AMDCFIFlash	sectorSizes	long	VALUE	3	1	primitive
AMDCFIFlash	sectorStarts	long	VALUE	1	1	primitive
AMDCFIFlash	state	State	VALUE	10	10	enum or struct -- copied, not referenced
AMDCFIFlash	underlyingMemory	MappedMemory	SHARED	6	1	static: 1 writes, 6 reads
AMDCFIFlash	unlockCycle	int	VALUE	3	8	primitive
AMDCFIFlash	writeMemoryDoubleWord	Action	CALLBACK	1	2	delegate slot -- Option<Box<dyn FnMut>>
AMDCFIFlash	writeMemoryWord	Action	CALLBACK	1	2	delegate slot -- Option<Box<dyn FnMut>>
APICMessageHelper	apicPeripheral	IAPICPeripheral	SHARED	4	1	static: 1 writes, 4 reads
APICMessageHelper	cachedIOAPICs	IOAPIC>	BACKREF	1	1	static: interface-typed, implementation outside cut
APICMessageHelper	cachedLAPICs	LAPIC>	UNKNOWN	1	1	static: `LAPIC>` not classified
APICMessageHelper	isCachePresent	bool	VALUE	2	1	primitive
AR1021	currentRetValue	byte	VALUE	2	4	primitive
AR1021	points	TouchedPoint	VALUE	17	0	enum or struct -- copied, not referenced
AR1021	pressed	bool	VALUE	1	3	primitive
AR1021	readItAlready	bool	VALUE	1	4	primitive
AR1021	readQueue	Queue	VALUE	4	0	static: maps to std::collections::VecDeque<Vec<u8>>
ARMCPRegInfo	AccessFunction	nint	VALUE	0	0	static: maps to isize
ARMCPRegInfo	Coprocessor	uint	VALUE	1	0	primitive
ARMCPRegInfo	Crm	byte	VALUE	1	0	primitive
ARMCPRegInfo	Crn	byte	VALUE	1	0	primitive
ARMCPRegInfo	FieldOffset	uint	VALUE	0	0	primitive
ARMCPRegInfo	IsDynamic	bool	VALUE	0	0	primitive
ARMCPRegInfo	Name	nint	VALUE	1	0	static: maps to isize
ARMCPRegInfo	Op0	byte	VALUE	1	0	primitive
ARMCPRegInfo	Op1	byte	VALUE	1	0	primitive
ARMCPRegInfo	Op2	byte	VALUE	1	0	primitive
ARMCPRegInfo	ReadFunction	nint	VALUE	0	0	static: maps to isize
ARMCPRegInfo	ResetValue	ulong	VALUE	0	0	primitive
ARMCPRegInfo	Type	uint	VALUE	2	0	primitive
ARMCPRegInfo	WriteFunction	nint	VALUE	0	0	static: maps to isize
ARM_AHB_GPIO	alternateFunctionResetValue	uint	VALUE	1	1	primitive
ARM_AHB_GPIO	hasDedicatedIRQs	bool	VALUE	1	1	primitive
ARM_AHB_GPIO	interruptEnabled	bool	VALUE	6	0	primitive
ARM_AHB_GPIO	interruptPolarity	InterruptPolarity	VALUE	5	0	enum or struct -- copied, not referenced
ARM_AHB_GPIO	interruptStatus	bool	VALUE	5	0	primitive
ARM_AHB_GPIO	interruptType	InterruptType	VALUE	8	0	enum or struct -- copied, not referenced
ARM_AHB_GPIO	pinAlternateFunctionEnabled	bool	VALUE	5	0	primitive
ARM_AHB_GPIO	pinOutputEnabled	bool	VALUE	8	0	primitive
ARM_AHB_GPIO	pullEnable	IFlagRegisterField	ARENA	2	0	register handle -- D2 makes it a typed arena index
ARM_AHB_GPIO	pullUpDown	IFlagRegisterField	ARENA	2	0	register handle -- D2 makes it a typed arena index
ARM_AHB_GPIO	softReset	IFlagRegisterField	ARENA	2	0	register handle -- D2 makes it a typed arena index
ARM_GenericInterruptController	ackControl	bool	VALUE	3	2	primitive
ARM_GenericInterruptController	affinityRoutingEnabledNonSecure	bool	VALUE	2	2	primitive
ARM_GenericInterruptController	affinityRoutingEnabledSecure	bool	VALUE	2	1	primitive
ARM_GenericInterruptController	affinityToIdMask	uint	VALUE	2	2	primitive
ARM_GenericInterruptController	automaticallyConnectedGPIOs	IGPIO>	BACKREF	3	0	static: interface-typed, implementation outside cut
ARM_GenericInterruptController	busController	IBusController	SHARED	1	1	static: 1 writes, 1 reads
ARM_GenericInterruptController	cpuEntries	CPUEntry>	UNKNOWN	17	0	static: `CPUEntry>` not classified
ARM_GenericInterruptController	cpuInterfaceRegisters	DoubleWordRegisterCollection	ARENA	3	1	the bank itself; elided, see register_collection
ARM_GenericInterruptController	cpuInterfaceRegistersDisabledSecurityView	DoubleWordRegisterCollection	ARENA	3	1	the bank itself; elided, see register_collection
ARM_GenericInterruptController	cpuInterfaceRegistersNonSecureView	DoubleWordRegisterCollection	ARENA	3	1	the bank itself; elided, see register_collection
ARM_GenericInterruptController	cpuInterfaceRegistersSecureView	DoubleWordRegisterCollection	ARENA	3	1	the bank itself; elided, see register_collection
ARM_GenericInterruptController	cpuInterfaceSystemRegisters	QuadWordRegisterCollection	SHARED	3	1	static: 1 writes, 3 reads
ARM_GenericInterruptController	cpusByProcessorNumberCache	IARMSingleSecurityStateCPU>	BACKREF	2	0	static: interface-typed, implementation outside cut
ARM_GenericInterruptController	disabledSecurity	bool	VALUE	2	1	primitive
ARM_GenericInterruptController	distributorDoubleWordRegisters	DoubleWordRegisterCollection	ARENA	5	1	the bank itself; elided, see register_collection
ARM_GenericInterruptController	distributorQuadWordRegisters	QuadWordRegisterCollection	SHARED	5	1	static: 1 writes, 5 reads
ARM_GenericInterruptController	distributorRegistersDisabledSecurityView	DoubleWordRegisterCollection	ARENA	3	1	the bank itself; elided, see register_collection
ARM_GenericInterruptController	distributorRegistersNonSecureView	DoubleWordRegisterCollection	ARENA	3	1	the bank itself; elided, see register_collection
ARM_GenericInterruptController	distributorRegistersSecureView	DoubleWordRegisterCollection	ARENA	3	1	the bank itself; elided, see register_collection
ARM_GenericInterruptController	enableFIQ	bool	VALUE	3	2	primitive
ARM_GenericInterruptController	forcedTargettedCpuForAffinityRouting	CPUEntry	SHARED	2	2	static: 2 writes, 2 reads
ARM_GenericInterruptController	groups	InterruptGroup>	UNKNOWN	23	1	static: `InterruptGroup>` not classified
ARM_GenericInterruptController	irqsDecoder	InterruptsDecoder	SHARED	47	1	static: 1 writes, 47 reads
ARM_GenericInterruptController	legacyCpusAttachedMask	uint	VALUE	2	1	primitive
ARM_GenericInterruptController	locker	object	VALUE	3	0	primitive
ARM_GenericInterruptController	pendingInterrupts	Interrupt>	UNKNOWN	4	0	static: `Interrupt>` not classified
ARM_GenericInterruptController	sharedInterrupts	SharedInterrupt>	UNKNOWN	17	1	static: `SharedInterrupt>` not classified
ARM_GenericInterruptController	supportedInterruptSignals	InterruptSignalType	VALUE	2	1	enum or struct -- copied, not referenced
ARM_GenericInterruptController	supportsTwoSecurityStates	bool	VALUE	4	1	primitive
ARM_GenericTimer	clockSource	IClockSource	SHARED	5	1	static: 1 writes, 5 reads
ARM_GenericTimer	defaultCounterFrequencyRegister	uint	VALUE	1	1	primitive
ARM_GenericTimer	doubleWordRegistersAArch32	DoubleWordRegisterCollection	ARENA	3	1	the bank itself; elided, see register_collection
ARM_GenericTimer	el1PhysicalTimer	TimerUnit	SHARED	9	1	static: 1 writes, 9 reads
ARM_GenericTimer	el1VirtualTimer	TimerUnit	SHARED	11	1	static: 1 writes, 11 reads
ARM_GenericTimer	el3PhysicalTimer	TimerUnit	SHARED	4	1	static: 1 writes, 4 reads
ARM_GenericTimer	nonSecureEL2PhysicalTimer	TimerUnit	SHARED	7	1	static: 1 writes, 7 reads
ARM_GenericTimer	nonSecureEL2VirtualTimer	TimerUnit	SHARED	4	1	static: 1 writes, 4 reads
ARM_GenericTimer	quadWordRegistersAArch32	QuadWordRegisterCollection	SHARED	3	1	static: 1 writes, 3 reads
ARM_GenericTimer	registersAArch64	QuadWordRegisterCollection	SHARED	3	1	static: 1 writes, 3 reads
ARM_GlobalTimer	comparators	PrivateComparator>	UNKNOWN	6	1	static: `PrivateComparator>` not classified
ARM_GlobalTimer	connections	IGPIO>	BACKREF	2	1	static: interface-typed, implementation outside cut
ARM_GlobalTimer	connectionsLocked	bool	VALUE	1	1	primitive
ARM_GlobalTimer	globalTimer	LimitTimer	SHARED	10	1	static: 1 writes, 10 reads
ARM_GlobalTimer	locker	object	VALUE	8	0	primitive
ARM_GlobalTimer	providedCpu	ICPU	SHARED	2	4	static: 4 writes, 2 reads
ARM_PrivateTimer	timer	LimitTimer	SHARED	17	1	static: 1 writes, 17 reads
ARM_SMMUv3	Context	IPeripheral	SHARED	3	1	static: 1 writes, 3 reads
ARM_SMMUv3	machine	IMachine	SHARED	4	1	static: 1 writes, 4 reads
ARM_SMMUv3	nonSecureDomain	Domain	SHARED	35	1	static: 1 writes, 35 reads
ARM_SMMUv3	pageRequestQueueErrorInterruptEnable	IFlagRegisterField	ARENA	2	0	register handle -- D2 makes it a typed arena index
ARM_SMMUv3	secureDomain	Domain	SHARED	35	1	static: 1 writes, 35 reads
ARM_SMMUv3	streamControllers	ISMMUv3StreamController>	BACKREF	6	0	static: interface-typed, implementation outside cut
ARM_SMMUv3	streams	IPeripheral>	BACKREF	10	0	static: interface-typed, implementation outside cut
ARM_SMMUv3	sysbus	IBusController	SHARED	7	1	static: 1 writes, 7 reads
ARM_SMMUv3BusController	locker	object	VALUE	1	1	primitive
ARM_SMMUv3BusController	smmu	ARM_SMMUv3	SHARED	3	1	static: 1 writes, 3 reads
ARM_SMMUv3ExternalMmu	cpu	ICPUWithExternalMmu	SHARED	13	1	static: 1 writes, 13 reads
ARM_SMMUv3ExternalMmu	enabled	bool	VALUE	3	1	primitive
ARM_SMMUv3ExternalMmu	skippedLastFault	bool	VALUE	2	3	primitive
ARM_SMMUv3ExternalMmu	smmu	ARM_SMMUv3	SHARED	4	1	static: 1 writes, 4 reads
ARM_SP804_Timer	backgroundLimit	ulong	VALUE	3	0	primitive
ARM_SP804_Timer	backgroundLimitSet	bool	VALUE	4	0	primitive
ARM_SP804_Timer	innerTimers	LimitTimer	BACKREF	15	0	static: never written, 15 reads
ARM_SP804_Timer	interruptEnable	IFlagRegisterField	ARENA	3	0	register handle -- D2 makes it a typed arena index
ARM_SP804_Timer	interruptPending	IFlagRegisterField	ARENA	5	0	register handle -- D2 makes it a typed arena index
ARMv7A	genericTimer	ARM_GenericTimer	SHARED	9	2	static: 2 writes, 9 reads
ARMv7R	AuxiliaryControlRegisterInstruction	Coprocessor32BitMoveInstruction	VALUE	2	0	enum or struct -- copied, not referenced
ARMv8A	GetRegisterValue32	Func	CALLBACK	5	0	delegate slot -- Option<Box<dyn FnMut>>
ARMv8A	GetRegisterValue64	Func	CALLBACK	3	0	delegate slot -- Option<Box<dyn FnMut>>
ARMv8A	SetRegisterValue32	Action	CALLBACK	5	0	delegate slot -- Option<Box<dyn FnMut>>
ARMv8A	SetRegisterValue64	Action	CALLBACK	3	0	delegate slot -- Option<Box<dyn FnMut>>
ARMv8A	TlibHasEl3	Func	CALLBACK	1	0	delegate slot -- Option<Box<dyn FnMut>>
ARMv8A	TlibSetAvailableEls	Func	CALLBACK	1	0	delegate slot -- Option<Box<dyn FnMut>>
ARMv8A	TlibSetCurrentEl	Action	CALLBACK	1	0	delegate slot -- Option<Box<dyn FnMut>>
ARMv8A	elAndSecurityLock	object	VALUE	4	0	primitive
ARMv8A	exceptionLevel	ExceptionLevel	VALUE	2	1	enum or struct -- copied, not referenced
ARMv8A	gic	ARM_GenericInterruptController	SHARED	4	1	static: 1 writes, 4 reads
ARMv8A	securityState	SecurityState	VALUE	2	1	enum or struct -- copied, not referenced
ARMv8A	timer	ARM_GenericTimer	SHARED	5	2	static: 2 writes, 5 reads
ARMv8R	GetRegisterValue32	Func	CALLBACK	5	0	delegate slot -- Option<Box<dyn FnMut>>
ARMv8R	GetRegisterValue64	Func	CALLBACK	3	0	delegate slot -- Option<Box<dyn FnMut>>
ARMv8R	SetRegisterValue32	Action	CALLBACK	5	0	delegate slot -- Option<Box<dyn FnMut>>
ARMv8R	SetRegisterValue64	Action	CALLBACK	3	0	delegate slot -- Option<Box<dyn FnMut>>
ARMv8R	TlibEnableTcmRegion	TcmRegionEnable>	UNKNOWN	1	0	static: `TcmRegionEnable>` not classified
ARMv8R	TlibRegisterTcmRegion	Action	CALLBACK	1	0	delegate slot -- Option<Box<dyn FnMut>>
ARMv8R	TlibSetAvailableEls	Func	CALLBACK	1	0	delegate slot -- Option<Box<dyn FnMut>>
ARMv8R	TlibSetMpuRegionsCount	Action	CALLBACK	1	0	delegate slot -- Option<Box<dyn FnMut>>
ARMv8R	defaultHVBARValue	ulong	VALUE	1	1	primitive
ARMv8R	defaultTCMConfiguration	TCMConfiguration>	UNKNOWN	4	0	static: `TCMConfiguration>` not classified
ARMv8R	defaultVBARValue	ulong	VALUE	1	1	primitive
ARMv8R	gic	ARM_GenericInterruptController	SHARED	4	1	static: 1 writes, 4 reads
ARMv8R	timer	ARM_GenericTimer	SHARED	9	2	static: 2 writes, 9 reads
AS6221	alarmFlag	bool	VALUE	1	4	primitive
AS6221	alarmPolarity	IFlagRegisterField	ARENA	3	0	register handle -- D2 makes it a typed arena index
AS6221	consecutiveFaults	uint	VALUE	2	5	primitive
AS6221	consecutiveFaultsThreshold	uint	VALUE	3	1	primitive
AS6221	conversionRate	ConversionRate>	UNKNOWN	2	0	static: `ConversionRate>` not classified
AS6221	conversionTimer	LimitTimer	SHARED	4	1	static: 1 writes, 4 reads
AS6221	currentTemperature	short	VALUE	4	5	primitive
AS6221	interruptMode	IFlagRegisterField	ARENA	2	0	register handle -- D2 makes it a typed arena index
AS6221	machine	IMachine	SHARED	0	1	static: 1 writes, 0 reads
AS6221	registerAddress	Registers	VALUE	3	3	enum or struct -- copied, not referenced
AS6221	resdStream	TemperatureSample>	UNKNOWN	3	2	static: `TemperatureSample>` not classified
AS6221	state	States	VALUE	3	3	enum or struct -- copied, not referenced
AS6221	temperatureHighThreshold	short	VALUE	2	2	primitive
AS6221	temperatureLowThreshold	short	VALUE	2	2	primitive
AT86RF233	accessMode	AccessMode	VALUE	5	7	enum or struct -- copied, not referenced
AT86RF233	accessType	AccessType	VALUE	5	1	enum or struct -- copied, not referenced
AT86RF233	autoCrc	bool	VALUE	2	2	primitive
AT86RF233	context	int	VALUE	6	4	primitive
AT86RF233	deferredFrameBuffer	byte	VALUE	3	3	primitive
AT86RF233	frameBuffer	byte	VALUE	15	3	primitive
AT86RF233	operatingMode	OperatingMode	VALUE	10	2	enum or struct -- copied, not referenced
AT91_InterruptibleTimer	lockobj	object	VALUE	2	0	primitive
AT91_InterruptibleTimer	prevValue	ulong	VALUE	3	3	primitive
AT91_InterruptibleTimer	timer	LimitTimer	SHARED	6	1	static: 1 writes, 6 reads
ATAPI	cmdCount	ushort	VALUE	3	4	primitive
ATAPI	cmdLength	ushort	VALUE	2	5	primitive
ATAPI	commandBytes	byte	VALUE	4	0	primitive
ATAPI	dataRegisters	WordRegisterCollection	SHARED	3	1	static: 1 writes, 3 reads
ATAPI	packetTransmission	bool	VALUE	2	4	primitive
ATAPI	registers	ByteRegisterCollection	SHARED	3	1	static: 1 writes, 3 reads
ATAPI	selectedDevice	IAtapiPeripheral	SHARED	8	2	static: 2 writes, 8 reads
ATAPI	selectedDeviceLock	object	VALUE	3	0	primitive
AbsolutePointerHandler	isCursorOverImageRectangle	bool	VALUE	2	2	primitive
AbsolutePointerHandler	lastX	int	VALUE	1	1	primitive
AbsolutePointerHandler	lastY	int	VALUE	1	1	primitive
AbsolutePointerHandler	previousCursorType	CursorType	UNKNOWN	1	2	static: `CursorType` not classified
AbsolutePointerHandler	widget	FrameBufferDisplayWidget	SHARED	8	1	static: 1 writes, 8 reads
AccelerationSample	accelerationX	int	VALUE	2	0	primitive
AccelerationSample	accelerationY	int	VALUE	2	0	primitive
AccelerationSample	accelerationZ	int	VALUE	2	0	primitive
AccessDescriptor	Address	byte	VALUE	15	2	primitive
AccessDescriptor	DomainAccessControlPolicy	AccessControlPolicy>	UNKNOWN	5	1	static: `AccessControlPolicy>` not classified
AccessDescriptor	IsBurst	bool	VALUE	2	1	primitive
AccessDescriptor	IsRead	bool	VALUE	3	1	primitive
AccessDescriptor	LockConfig	LockConfig>	UNKNOWN	14	0	static: `LockConfig>` not classified
AccessDescriptor	SemaphoreEnable	IFlagRegisterField	ARENA	5	0	register handle -- D2 makes it a typed arena index
AccessDescriptor	SemaphoreNumber	IValueRegisterField	ARENA	5	0	register handle -- D2 makes it a typed arena index
AccessDescriptor	Target	Target	VALUE	10	6	enum or struct -- copied, not referenced
AccessDescriptor	Valid	IFlagRegisterField	ARENA	5	0	register handle -- D2 makes it a typed arena index
ActualLogger	aggregateLogs	bool	VALUE	3	1	primitive
ActualLogger	aggregationFlushLock	object	VALUE	2	1	primitive
ActualLogger	alwaysAppendMachineName	bool	VALUE	1	1	primitive
ActualLogger	cancellationToken	CancellationTokenSource	UNKNOWN	2	1	static: `CancellationTokenSource` not classified
ActualLogger	entries	LogEntry>	UNKNOWN	3	2	static: `LogEntry>` not classified
ActualLogger	innerLock	object	VALUE	3	1	primitive
ActualLogger	lastLoggedEntry	LogEntry	SHARED	3	1	static: 1 writes, 3 reads
ActualLogger	logAggregatorTimer	Timer	VALUE	2	2	enum or struct -- copied, not referenced
ActualLogger	logSourcesMap	LogSourcesMap	SHARED	3	1	static: 1 writes, 3 reads
ActualLogger	loggingThread	Thread	UNKNOWN	5	2	static: `Thread` not classified
ActualLogger	nextNameId	int	VALUE	1	1	primitive
ActualLogger	repeatLogEntryCount	int	VALUE	3	2	primitive
ActualLogger	stopThread	bool	VALUE	1	1	primitive
ActualLogger	useSynchronousLogging	bool	VALUE	2	1	primitive
AddressTranslationTable	DestinationAddress	ulong	VALUE	3	0	primitive
AddressTranslationTable	Enabled	bool	VALUE	2	1	primitive
AddressTranslationTable	SourceAddress	ulong	VALUE	9	0	primitive
AddressTranslationTable	TargetSpace	PCIeSpace	VALUE	7	1	enum or struct -- copied, not referenced
AddressTranslationTable	parent	MPFS_PCIe	SHARED	1	1	static: 1 writes, 1 reads
AddressTranslationTable	size	uint	VALUE	2	2	primitive
AesEcbState	aesProvider	AesProvider	SHARED	2	1	static: 1 writes, 2 reads
AesEcbState	buffer	byte	VALUE	2	0	primitive
AesEcbState	bufferIdx	int	VALUE	1	2	primitive
AesProvider	aesEngine	Aes	UNKNOWN	5	1	static: `Aes` not classified
AesProvider	decryptor	ICryptoTransform	BACKREF	4	1	static: interface-typed, implementation outside cut
AesProvider	encryptor	ICryptoTransform	BACKREF	4	1	static: interface-typed, implementation outside cut
AesProvider	iv	byte	VALUE	2	1	primitive
AesProvider	key	byte	VALUE	2	1	primitive
AesProvider	lastBlock	Block	VALUE	3	1	enum or struct -- copied, not referenced
Affinity	allLevels	uint	VALUE	1	1	primitive
Affinity	levels	byte	VALUE	11	0	primitive
AlarmConfig	day	int	VALUE	1	2	primitive
AlarmConfig	daysMask	bool	VALUE	1	2	primitive
AlarmConfig	enable	bool	VALUE	1	2	primitive
AlarmConfig	flag	bool	VALUE	1	3	primitive
AlarmConfig	hour	int	VALUE	1	2	primitive
AlarmConfig	hoursMask	bool	VALUE	1	2	primitive
AlarmConfig	interruptEnable	bool	VALUE	1	2	primitive
AlarmConfig	masterTimer	TimerConfig	SHARED	4	1	static: 1 writes, 4 reads
AlarmConfig	minute	int	VALUE	1	2	primitive
AlarmConfig	minutesMask	bool	VALUE	1	2	primitive
AlarmConfig	parent	STM32F4_RTC	SHARED	7	1	static: 1 writes, 7 reads
AlarmConfig	pm	bool	VALUE	1	2	primitive
AlarmConfig	second	int	VALUE	1	2	primitive
AlarmConfig	secondsMask	bool	VALUE	1	2	primitive
AlarmConfig	subsecond	int	VALUE	1	2	primitive
AlarmConfig	subsecondsMask	uint	VALUE	1	2	primitive
AlgorithmState	parent	STM32H7_CRYPTO	SHARED	22	2	static: 2 writes, 22 reads
Allegro_E310	axiAddrOffsetIp	IValueRegisterField	ARENA	2	0	register handle -- D2 makes it a typed arena index
Allegro_E310	channels	Channel>	UNKNOWN	7	0	static: `Channel>` not classified
Allegro_E310	cpuToMcuMailbox	Mailbox	SHARED	3	1	static: 1 writes, 3 reads
Allegro_E310	dcacheAddrHigh	IValueRegisterField	ARENA	1	0	register handle -- D2 makes it a typed arena index
Allegro_E310	dcacheAddrLow	IValueRegisterField	ARENA	1	0	register handle -- D2 makes it a typed arena index
Allegro_E310	icacheAddrHigh	IValueRegisterField	ARENA	1	0	register handle -- D2 makes it a typed arena index
Allegro_E310	icacheAddrLow	IValueRegisterField	ARENA	1	0	register handle -- D2 makes it a typed arena index
Allegro_E310	interruptMask	IFlagRegisterField	ARENA	2	0	register handle -- D2 makes it a typed arena index
Allegro_E310	interruptStatus	IFlagRegisterField	ARENA	4	0	register handle -- D2 makes it a typed arena index
Allegro_E310	mcuSleeping	IFlagRegisterField	ARENA	4	0	register handle -- D2 makes it a typed arena index
Allegro_E310	mcuToCpuMailbox	Mailbox	SHARED	3	1	static: 1 writes, 3 reads
Allegro_E310	nextChannelUid	int	VALUE	1	1	primitive
AllowedTranslationsAttribute	allowedTranslations	AllowedTranslation	VALUE	1	1	enum or struct -- copied, not referenced
AlteraJTAG_UART	fifoDepth	uint	VALUE	2	1	primitive
AmbiqApollo4_ADC	channelDataGettersArray	Func	CALLBACK	1	1	delegate slot -- Option<Box<dyn FnMut>>
AmbiqApollo4_ADC	fifo	FifoEntry>	UNKNOWN	17	1	static: `FifoEntry>` not classified
AmbiqApollo4_ADC	fifoPushEnabled	IFlagRegisterField	ARENA	4	0	register handle -- D2 makes it a typed arena index
AmbiqApollo4_ADC	interruptEnableFlags	IFlagRegisterField	ARENA	2	0	register handle -- D2 makes it a typed arena index
AmbiqApollo4_ADC	interruptStatuses	bool	VALUE	5	1	primitive
AmbiqApollo4_ADC	moduleEnabled	IFlagRegisterField	ARENA	2	0	register handle -- D2 makes it a typed arena index
AmbiqApollo4_ADC	slots	Slot	SHARED	5	1	static: 1 writes, 5 reads
AmbiqApollo4_BootromLogger	bootromBaseAddress	long	VALUE	2	1	primitive
AmbiqApollo4_GPIO	inputEnable	IFlagRegisterField	ARENA	4	0	register handle -- D2 makes it a typed arena index
AmbiqApollo4_GPIO	interruptMode	InterruptEnable>	UNKNOWN	2	0	static: `InterruptEnable>` not classified
AmbiqApollo4_GPIO	ioMode	IOMode>	BACKREF	4	0	static: interface-typed, implementation outside cut
AmbiqApollo4_GPIO	irq	GPIO	BACKREF	9	0	static: never written, 9 reads
AmbiqApollo4_GPIO	irqEnabled	IFlagRegisterField	ARENA	3	0	register handle -- D2 makes it a typed arena index
AmbiqApollo4_GPIO	irqStatus	IFlagRegisterField	ARENA	5	0	register handle -- D2 makes it a typed arena index
AmbiqApollo4_GPIO	outputPinValues	bool	VALUE	5	0	primitive
AmbiqApollo4_GPIO	padKey	IValueRegisterField	ARENA	3	0	register handle -- D2 makes it a typed arena index
AmbiqApollo4_GPIO	readZero	IFlagRegisterField	ARENA	2	0	register handle -- D2 makes it a typed arena index
AmbiqApollo4_GPIO	tristatePinOutputEnabled	bool	VALUE	6	0	primitive
AmbiqApollo4_IOMaster	activeSpiSlaveSelect	int	VALUE	2	2	primitive
